Country,srcYear,srcMonth,srcCalendarDay,srcStateName,Name of the power station,Monitored capacity,Available capacity,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Power generation under (Dated) program,Power generation under till date actual,Coal Stock,Capacity under outage,Maintenance Start Date,Expected date or synchronize date
India,2021,May-2021,06-May-2021,Uttar Pradesh,DADRI (NCTPP)_Unit 5,490,490,2.84,6.84,103.04,279.35,12,0,,
India,2023,Nov-2023,11-Nov-2023,Uttar Pradesh,SINGRAULI STPS_Unit 3,200,200,0,4.75,865,1023.29,15,0,,
India,2025,Jan-2025,28-Jan-2025,Madhya Pradesh,VINDHYACHAL STPS_Unit 11,500,500,11.65,11.87,3528.2,3404.02,19,0,,
India,2021,Nov-2021,19-Nov-2021,Uttarakhand,TAPOVAN VISHNUGAD HPS,0,0,0,0,0,0,,0,,
India,2024,Feb-2024,25-Feb-2024,Bihar,KAHALGAON TPS_Unit 5,500,500,11.69,11.52,3341.25,3443.23,11,0,,
India,2024,Jun-2024,29-Jun-2024,West Bengal,FARAKKA STPS_Unit 6,500,500,9.9,10.62,917.1,907.92,23,0,,
India,2021,Oct-2021,11-Oct-2021,Madhya Pradesh,VINDHYACHAL STPS_Unit 6,210,210,4.77,4.96,925.47,864.29,4,0,,
India,2019,Mar-2019,23-Mar-2019,Maharashtra,MAUDA TPS_Unit 2,500,500,6.03,10.49,2152.69,2298.67,,0,,
India,2019,May-2019,02-May-2019,Uttar Pradesh,RIHAND STPS_Unit 4,500,500,10.58,11.66,21.16,372.82,21,0,,
India,2022,Oct-2022,15-Oct-2022,Chhattisgarh,KORBA STPS_Unit 2,200,200,3.97,4.32,808.55,939.97,11,0,,
India,2023,Aug-23,06-Aug-23,Bihar,BARH STPS_Unit 4,660,660,13.48,12.12,1745.88,1587.44,4,0,,
India,2020,Feb-2020,14-Feb-2020,Chhattisgarh,KORBA STPS_Unit 6,500,500,10.1,12.03,3235.4,3445.96,15,0,,
India,2021,Jan-2021,16-Jan-2021,Bihar,KAHALGAON TPS_Unit 3,210,210,3.42,4.52,895.72,859.01,28,0,,
India,2018,Oct-2018,17-Oct-2018,Chhattisgarh,KORBA STPS_Unit 7,500,500,9.65,10.13,1931.05,2176.66,,0,,
India,2021,Mar-2021,26-Mar-2021,Uttar Pradesh,DADRI (NCTPP)_Unit 1,210,210,2.26,5,753.76,107.64,12,0,,
India,2020,Oct-2020,10-Oct-2020,Karnataka,KUDGI STPP_Unit 2,800,0,0,0,538,0,38,800,27/03/2020 09:36,11/10/2020 0:00
India,2018,May-2018,03-May-2018,Assam,BONGAIGAON TPP_Unit 3,0,0,0,0,0,0,,0,,
India,2021,Jan-2021,04-Jan-2021,Maharashtra,MAUDA TPS_Unit 3,660,660,7.94,11.18,2236.76,925.63,21,0,,
India,2020,Aug-2020,12-Aug-2020,Gujarat,KAWAS CCPP,656.2,318,3.74,5.43,484.88,572.98,,338.2,,
India,2019,Mar-2019,28-Mar-2019,Haryana,FARIDABAD CCPP,431.59,137.76,2.91,0,941.48,596.85,,293.83,,
India,2024,Sep-2024,15-Sep-2024,Jharkhand,NORTH KARANPURA TPP_Unit 2,660,660,11.83,13.42,2036.45,2308.82,10,0,,
India,2025,Feb-2025,10-Feb-2025,Telangana,RAMAGUNDEM STPS_Unit 5,500,500,11.04,9.57,3159.4,2286.84,28,0,,
India,2021,Feb-2021,19-Feb-2021,Kerala,R. GANDHI CCPP (Liq.),359.58,0,0.04,0,8.76,0.66,,359.58,,
India,2021,Jan-2021,08-Jan-2021,Haryana,FARIDABAD CCPP,431.59,293.83,0.84,0,230.72,665.51,,137.76,,
India,2024,Jun-2024,07-Jun-2024,Uttar Pradesh,UNCHAHAR TPS_Unit 4,210,210,4.83,3.85,328.81,288.48,23,0,,
India,2022,May-2022,17-May-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 5,210,210,4.48,5.14,210.16,243.82,26,0,,
India,2021,Nov-2021,19-Nov-2021,Madhya Pradesh,VINDHYACHAL STPS_Unit 12,500,500,10.27,11.56,2395.13,2689.63,8,0,,
India,2022,Jun-2022,12-Jun-2022,Maharashtra,MAUDA TPS_Unit 1,500,500,7.43,9.2,555.16,653.31,3,0,,
India,2021,Apr-2021,22-Apr-2021,Gujarat,GANDHAR CCPP,657.39,0,2.18,0,47.96,3.04,,657.39,,
India,2022,Nov-2022,26-Nov-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 2,210,210,4.07,5.04,1024.82,1086.81,13,0,,
India,2024,Feb-2024,05-Feb-2024,Chhattisgarh,SIPAT STPS_Unit 1,660,660,14.34,15.46,3811.7,3896.39,8,0,,
India,2019,Apr-2019,20-Apr-2019,Chhattisgarh,SIPAT STPS_Unit 5,500,500,10.7,11.34,214,235.08,5,0,,
India,2023,Dec-2023,10-Dec-2023,Uttar Pradesh,SINGRAULI STPS_Unit 3,200,0,4.39,0,908.9,1064.83,13,200,20/11/2023 23:37,
India,2018,Jan-2018,25-Jan-2018,Gujarat,GANDHAR CCPP,657.39,657.39,5.01,4.13,1509.25,2632.63,,0,,
India,2022,Oct-2022,02-Oct-2022,Uttar Pradesh,DADRI (NCTPP)_Unit 1,210,210,1.74,2.84,330.48,658.08,4,0,,
India,2023,Mar-2023,14-Mar-2023,Uttar Pradesh,TANDA TPS_Unit 3,110,110,1.77,2.37,576.78,424.17,5,0,,
India,2018,Mar-2018,23-Mar-2018,Uttar Pradesh,DADRI (NCTPP)_Unit 1,210,210,3.27,4.1,1073.81,1060.08,,0,,
